description,title,allowedPageNavigation,layout,epubURL,coverImageURL
ISBN:9781473721715 School Name:Vanderbijlpark,Human Resource Management in South Africa,vertical,"[""portrait_single_page"",""landscape_single_page""]",http://10.142.63.3/Readerplus/epubs/books/9781473721715.epub,http://10.142.63.3/Readerplus/epubs/covers/9781473721715.png
ISBN:9781775953685 School Name:Vanderbijlpark,Introduction to Business Management: Fresh Perspectives (2nd ed.),vertical,"[""portrait_single_page"",""landscape_single_page""]",http://10.142.63.3/Readerplus/epubs/books/9781775953685.epub,http://10.142.63.3/Readerplus/epubs/covers/9781775953685.png
ISBN:9781784476441_CTI School Name:Vanderbijlpark,Introduction to Mathematics,vertical,"[""portrait_single_page"",""landscape_single_page""]",http://10.142.63.3/Readerplus/epdfs/books/9781784476441_CTI.pdf,http://10.142.63.3/Readerplus/epdfs/covers/9781784476441_CTI.png
ISBN:9781784347673 School Name:Vanderbijlpark,Personality: Classic Theories and Modern Research (5th ed.),vertical,"[""portrait_single_page"",""landscape_single_page""]",http://10.142.63.3/Readerplus/epubs/books/9781784347673.epub,http://10.142.63.3/Readerplus/epubs/covers/9781784347673.png
ISBN:9781784347840 School Name:Vanderbijlpark,Introduction to Biotechnology (3rd ed.),vertical,"[""portrait_single_page"",""landscape_single_page""]",http://10.142.63.3/Readerplus/epubs/books/9781784347840.epub,http://10.142.63.3/Readerplus/epubs/covers/9781784347840.png
ISBN:9781292034133 School Name:Vanderbijlpark,Hartmann & Kester's Plant Propagation: Principles and Practices (8th ed.),vertical,"[""portrait_single_page"",""landscape_single_page""]",http://10.142.63.3/Readerplus/epdfs/books/9781292034133.pdf,http://10.142.63.3/Readerplus/epdfs/covers/9781292034133.png
ISBN:9781292034355 School Name:Vanderbijlpark,Check-In Check-Out: Managing Hotel Operations (9th ed.),vertical,"[""portrait_single_page"",""landscape_single_page""]",http://10.142.63.3/Readerplus/epdfs/books/9781292034355.pdf,http://10.142.63.3/Readerplus/epdfs/covers/9781292034355.png
ISBN:9781292081984 School Name:Vanderbijlpark,Microeconomics (8th ed.),vertical,"[""portrait_single_page"",""landscape_single_page""]",http://10.142.63.3/Readerplus/epdfs/books/9781292081984.pdf,http://10.142.63.3/Readerplus/epdfs/covers/9781292081984.png
ISBN:9780409114232 School Name:Vanderbijlpark,Introduction to Financial Accounting (8th ed.),vertical,"[""portrait_single_page"",""landscape_single_page""]",http://10.142.63.3/Readerplus/epubs/books/9780409114232.epub,http://10.142.63.3/Readerplus/epubs/covers/9780409114232.png
ISBN:9780409121315 School Name:Vanderbijlpark,Graded questions on Auditing 2016,vertical,"[""portrait_single_page"",""landscape_single_page""]",http://10.142.63.3/Readerplus/epdfs/books/9780409121315.pdf,http://10.142.63.3/Readerplus/epdfs/covers/9780409121315.png
ISBN:9781118681879 School Name:Vanderbijlpark,Chemical Analysis: Modern Instrumentation Methods and Techniques (2nd ed.),vertical,"[""portrait_single_page"",""landscape_single_page""]",http://10.142.63.3/Readerplus/epubs/books/9781118681879.epub,http://10.142.63.3/Readerplus/epubs/covers/9781118681879.png
ISBN:9781118507278 School Name:Vanderbijlpark,Strategic Management of Information Systems (5th ed.),vertical,"[""portrait_single_page"",""landscape_single_page""]",http://10.142.63.3/Readerplus/epdfs/books/9781118507278.pdf,http://10.142.63.3/Readerplus/epdfs/covers/9781118507278.png
ISBN:9781118653463 School Name:Vanderbijlpark,Principles of Biochemistry (4th ed.),vertical,"[""portrait_single_page"",""landscape_single_page""]",http://10.142.63.3/Readerplus/epdfs/books/9781118653463.pdf,http://10.142.63.3/Readerplus/epdfs/covers/9781118653463.png
ISBN:9781485115311 School Name:Vanderbijlpark,Basic Psychology for Human Resource Practitioners (2nd ed.),vertical,"[""portrait_single_page"",""landscape_single_page""]",http://10.142.63.3/Readerplus/epubs/books/9781485115311.epub,http://10.142.63.3/Readerplus/epubs/covers/9781485115311.png
ISBN:9781485115359 School Name:Vanderbijlpark,Labour Relations: A southern African perspective (6th ed.),vertical,"[""portrait_single_page"",""landscape_single_page""]",http://10.142.63.3/Readerplus/epubs/books/9781485115359.epub,http://10.142.63.3/Readerplus/epubs/covers/9781485115359.png
ISBN:OSA_NI_STG School Name:Vanderbijlpark,Networking Infrastructure Study Guide,vertical,"[""portrait_single_page"",""landscape_single_page""]",http://10.142.63.3/Readerplus/epubs/books/OSA_NI_STG.epub,http://10.142.63.3/Readerplus/epubs/covers/OSA_NI_STG.png
ISBN:OSA_NI_Lab School Name:Vanderbijlpark,Networking Infrastructure Labs,vertical,"[""portrait_single_page"",""landscape_single_page""]",http://10.142.63.3/Readerplus/epubs/books/OSA_NI_Lab.epub,http://10.142.63.3/Readerplus/epubs/covers/OSA_NI_Lab.png
ISBN:9781775956464 School Name:Vanderbijlpark,Basic Programming Principles (2nd ed.),vertical,"[""portrait_single_page"",""landscape_single_page""]",http://10.142.63.3/Readerplus/epdfs/books/9781775956464.pdf,http://10.142.63.3/Readerplus/epdfs/covers/9781775956464.png
ISBN:9781473749283 School Name:Vanderbijlpark,Principles of Information Systems (12th ed.),vertical,"[""portrait_single_page"",""landscape_single_page""]",http://10.142.63.3/Readerplus/epdfs/books/9781473749283.pdf,http://10.142.63.3/Readerplus/epdfs/covers/9781473749283.png
ISBN:9781292061948 School Name:Vanderbijlpark,Operating Systems: Internals and Design Principles (8th ed.),vertical,"[""portrait_single_page"",""landscape_single_page""]",http://10.142.63.3/Readerplus/epdfs/books/9781292061948.pdf,http://10.142.63.3/Readerplus/epdfs/covers/9781292061948.png
ISBN:9781775788690 School Name:Vanderbijlpark,Economics: Global and Southern African Perspectives (2nd ed.),vertical,"[""portrait_single_page"",""landscape_single_page""]",http://10.142.63.3/Readerplus/epdfs/books/9781775788690.pdf,http://10.142.63.3/Readerplus/epdfs/covers/9781775788690.png
